(cord#neutral)(battery life#positive),I charge it at night and skip taking the cord with me because of the good battery life.
,I bought a HP Pavilion DV4-1222nr laptop and have had so many problems with the computer.
"(service center#negative)(""sales"" team#negative)(tech guy#neutral)","The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from."
,I investigated netbooks and saw the Toshiba NB305-N410BL.
,"The other day I had a presentation to do for a seminar at a large conference in town- lots of people, little time to prep and have to set up a computer to a projector, etc."
(quality#positive)(GUI#positive)(applications#positive)(use#positive),"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous."
(start up#positive),Easy to start up and does not overheat as much as other laptops.
,Sad very SAD.
(features#positive)(iChat#positive)(Photobooth#positive)(garage band#positive),"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!"
,Needless to say a PC that can't support a cell phone is less than useless!
(features#positive),Great laptop that offers many great features!
,they have done absolutely nothing to fix the computer problem.
(GUI#negative)(screen#negative)(power light#neutral)(hard drive light#negative)," One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does."
,"Still pretty pricey, but I've been putting off money for a while as a little Macbook Fund, and finally got to use it."
(battery#neutral),I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.
(rubber enclosure#positive)(edge#negative),"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con)."
(multi-touch gestures#positive)(tracking area#positive)(external mouse#neutral)(gaming#neutral),"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming)."
,Plus it is small and reasonably light so I can take it with me to and from work.
,I HATE this one.
,They were totally unconcerned that the computer was not correctly repaired in the first place.
,Toshiba does not send any one out unless you have paid extra to have the on site repair done.
,"Oh, boy!"
,But while this is one big advantage (as you may know from the company s recent commercials) there are other things to consider before going with Apple.
(suite of software#positive),I love the way the entire suite of software works together.
(speed#positive),The speed is incredible and I am more than satisfied.
,on the bright side at least I wasn't without my laptop for long this time!
(Windows 7#positive),This laptop meets every expectation and Windows 7 is great!
,That's how frustrating it was.
(usb devices#negative),I can barely use any usb devices because they will not stay connected properly.
,"The one down side to it is that when I play a certin game on here, it tends to freeze up sometimes, but thats the only bad thing about this computer."
(keyboard#conflict),"-No backlit keyboard, but not an issue for me."
