Aspect term,Review text
"(Boot time, neutral)","Boot time is super fast, around anywhere from 35 seconds to 1 minute."
"(tech support, neutral)",tech support would not fix the problem unless I bought your plan for $150 plus.
,but in resume this computer rocks!
"(Set up, positive)",Set up was easy.
"(Windows 8, negative);  (touchscreen functions, negative)",Did not enjoy the new Windows 8 and touchscreen functions.
,"I expected so as it's an Apple product, but I was glad to see my expectations exceeded, this is THE laptop to buy right now."
"(internal speakers, neutral);  (internal speakers, positive)","Other than not being a fan of click pads (industry standard these days) and the lousy internal speakers, it's hard for me to find things about this notebook I don't like, especially considering the $350 price tag."
,excellent in every way.
"(installation disk (DVD, neutral)",No installation disk (DVD) is included.
"(use, positive)","It's fast, light, and simple to use."
"(apple OS, positive)","Works well, and I am extremely happy to be back to an apple OS."
,This mac has been a problem since we got it.
"(features, positive)",Sure it's not light and slim but the features make up for it 100%.
"(WiFi connection, neutral);  (battery life, positive);  (log on, positive)","I am pleased with the fast log on, speedy WiFi connection and the long battery life (>6 hrs)."
"(delete key, negative)",The Apple engineers have not yet discovered the delete key.
"(interneting, positive)",Made interneting (part of my business) very difficult to maintain.
"(priced, positive)","Luckily, for all of us contemplating the decision, the Mac Mini is priced just right."
,Small and still VERY powerful.
,I had gotten this model for  $1199.00 on my State's tax-free weekend and had a $100 off coupon for a MacBook at the local BestBuy!
"(works, positive)","Super light, super sexy and everything just works."
"(track pad, positive)","Only problem that I had was that the track pad was not very good for me, I only had a problem once or twice with it, But probably my computer was a bit defective."
,And if you are switching from a pc I hilghy sugest this one.
"(graphics, positive)",It is super fast and has outstanding graphics.
"(mountain lion, negative)",But the mountain lion is just too slow.
"(durability, positive);  (build, positive)",Strong build though which really adds to its durability.
"(battery life, positive)",The battery life is excellent- 6-7 hours without charging.
,I enjoy having apple products.
"(works, positive)",I've had my computer for 2 weeks already and it works perfectly.
,I will never go back to a PC again!
"(Windows 8, positive)",And I may be the only one but I am really liking Windows 8.
"(baterry, positive)",The baterry is very longer.
,And it's so quiet that I don't hear it at all.
"(weight, neutral);  (size, neutral)",Its size is ideal and the weight is acceptable.
,"I know Apples are more expensive than PCs, but he thinks it is worth every penny."
,To me it's a workhorse... and quiet as can be... you even save big bucks not dishing out any extra to Uncle Sam... Definite Buy...
"(performance, positive)",I can say that I am fully satisfied with the performance that the computer has supplied.
,"I'm pretty sure when I bought it, my bank account went 'ouch!"
,Thank you so much for the great item.
"(USB ports, neutral)","This laptop has only 2 USB ports, and they are both on the same side."
,It's annoying very much and I won't ever buy any Acer products.
,This is why I purchased a BRAND NEW LAPTOP in the first place so it wouldn't have ANY problems.
"(speed, positive);  (screen, negative)",It has so much more speed and the screen is very sharp.
,"As for the laptop, this is our 3rd Apple computer in the past 2 years."
"(price, positive)",Everything I wanted and everything I needed and the price was great!
"(Hardware performance, neutral)",It's not inexpensive but the Hardware performance is impressive for a computer this small.
,It is better than my old acer laptop.
"(set up, positive);  (works, positive)","This thing is awesome, everything always works, everything is always easy to set up, everything is compatible, its literally everything I could ask for."
,I would buy it again in a heartbeat!
"(Keyboard, neutral)",Keyboard responds well to presses.
,If someone called me an Apple Fanboy...it would make sense.
